Simulations begin: 2025-02-03 01:34:38.612400
----- Starting simulation [systematic-constant] : 0 @ 2025-02-03 01:34:38.612481-----
Start coverage level: 0.6
Start exploration level: 0.764

annealing forward iteration: 14 | coverage level: 0.7 | exploration_level: 0.7950908007337619

annealing forward iteration: 15 | coverage level: 0.7 | exploration_level: 0.7962462375261227

annealing forward iteration: 16 | coverage level: 0.7 | exploration_level: 0.7966692672540245

annealing forward iteration: 17 | coverage level: 0.7 | exploration_level: 0.799938090085327

annealing forward iteration: 18 | coverage level: 0.7333333333333333 | exploration_level: 0.8018291427632344

annealing forward iteration: 19 | coverage level: 0.7333333333333333 | exploration_level: 0.8044653632644856

annealing forward iteration: 20 | coverage level: 0.7333333333333333 | exploration_level: 0.8074309250235925

annealing forward iteration: 21 | coverage level: 0.7333333333333333 | exploration_level: 0.8086786424328034

annealing forward iteration: 22 | coverage level: 0.7333333333333333 | exploration_level: 0.8092986100066172

annealing forward iteration: 23 | coverage level: 0.7333333333333333 | exploration_level: 0.8134511410503583

annealing forward iteration: 24 | coverage level: 0.7333333333333333 | exploration_level: 0.814926707070874

annealing forward iteration: 25 | coverage level: 0.7333333333333333 | exploration_level: 0.8171042433306981

annealing forward iteration: 26 | coverage level: 0.7333333333333333 | exploration_level: 0.8202328503480721

annealing forward iteration: 27 | coverage level: 0.7666666666666667 | exploration_level: 0.8232002339303741

annealing forward iteration: 28 | coverage level: 0.7666666666666667 | exploration_level: 0.8255770905219897

annealing forward iteration: 29 | coverage level: 0.7666666666666667 | exploration_level: 0.8257552073918836

annealing forward iteration: 30 | coverage level: 0.7666666666666667 | exploration_level: 0.8264086108660517

annealing forward iteration: 31 | coverage level: 0.7666666666666667 | exploration_level: 0.8273300881339594

annealing forward iteration: 32 | coverage level: 0.7666666666666667 | exploration_level: 0.8279354143724645

annealing forward iteration: 33 | coverage level: 0.7666666666666667 | exploration_level: 0.8281254002501742

annealing forward iteration: 34 | coverage level: 0.7666666666666667 | exploration_level: 0.8287685873165382

annealing forward iteration: 35 | coverage level: 0.7666666666666667 | exploration_level: 0.8287371337695002

annealing forward iteration: 36 | coverage level: 0.7666666666666667 | exploration_level: 0.8309775535871812

annealing forward iteration: 37 | coverage level: 0.7666666666666667 | exploration_level: 0.8316750387683637

annealing forward iteration: 38 | coverage level: 0.7666666666666667 | exploration_level: 0.831272690455303

annealing forward iteration: 39 | coverage level: 0.7666666666666667 | exploration_level: 0.8319135499645077

annealing forward iteration: 40 | coverage level: 0.7666666666666667 | exploration_level: 0.833155946411465

annealing forward iteration: 41 | coverage level: 0.7666666666666667 | exploration_level: 0.8335809832988336

annealing forward iteration: 42 | coverage level: 0.7666666666666667 | exploration_level: 0.8354023606033448

annealing forward iteration: 43 | coverage level: 0.7666666666666667 | exploration_level: 0.8380084626953792

annealing forward iteration: 44 | coverage level: 0.7666666666666667 | exploration_level: 0.8370028138411993

annealing forward iteration: 45 | coverage level: 0.7666666666666667 | exploration_level: 0.8379191838236191

annealing forward iteration: 46 | coverage level: 0.7666666666666667 | exploration_level: 0.8372264743467919

annealing forward iteration: 47 | coverage level: 0.7666666666666667 | exploration_level: 0.8379750417311806

annealing forward iteration: 48 | coverage level: 0.7666666666666667 | exploration_level: 0.8377066658047609

annealing forward iteration: 49 | coverage level: 0.7666666666666667 | exploration_level: 0.8371452502847635

annealing forward iteration: 50 | coverage level: 0.7666666666666667 | exploration_level: 0.837216893981684

annealing forward iteration: 51 | coverage level: 0.7666666666666667 | exploration_level: 0.8371381992048631

annealing forward iteration: 52 | coverage level: 0.7666666666666667 | exploration_level: 0.8371063348865017

annealing forward iteration: 53 | coverage level: 0.8 | exploration_level: 0.8380355244721337

annealing forward iteration: 54 | coverage level: 0.8 | exploration_level: 0.8384462467044211

annealing forward iteration: 55 | coverage level: 0.8 | exploration_level: 0.8390383327504911

annealing forward iteration: 56 | coverage level: 0.8 | exploration_level: 0.8390668935253521

annealing forward iteration: 57 | coverage level: 0.8 | exploration_level: 0.8403555792747058

annealing forward iteration: 58 | coverage level: 0.8 | exploration_level: 0.841300174022837

annealing forward iteration: 59 | coverage level: 0.8666666666666667 | exploration_level: 0.8418620301817015

annealing forward iteration: 60 | coverage level: 0.8666666666666667 | exploration_level: 0.8439633348361818

annealing forward iteration: 61 | coverage level: 0.8666666666666667 | exploration_level: 0.8446594591771731

annealing forward iteration: 62 | coverage level: 0.8666666666666667 | exploration_level: 0.8460126148452629

annealing forward iteration: 63 | coverage level: 0.8666666666666667 | exploration_level: 0.8459542002515645

annealing forward iteration: 64 | coverage level: 0.8666666666666667 | exploration_level: 0.8471833654898301

annealing forward iteration: 65 | coverage level: 0.8666666666666667 | exploration_level: 0.8489329789040776

annealing forward iteration: 66 | coverage level: 0.8666666666666667 | exploration_level: 0.8501978909964597

annealing forward iteration: 67 | coverage level: 0.8666666666666667 | exploration_level: 0.8508621460007596

annealing forward iteration: 68 | coverage level: 0.8666666666666667 | exploration_level: 0.8512734539088275

annealing forward iteration: 69 | coverage level: 0.8666666666666667 | exploration_level: 0.852892869776337

annealing forward iteration: 70 | coverage level: 0.8666666666666667 | exploration_level: 0.8541307662426256

annealing forward iteration: 71 | coverage level: 0.8666666666666667 | exploration_level: 0.8553006332098636

annealing forward iteration: 72 | coverage level: 0.8666666666666667 | exploration_level: 0.8574394142130113

annealing forward iteration: 73 | coverage level: 0.8666666666666667 | exploration_level: 0.8597500424529814

annealing forward iteration: 74 | coverage level: 0.8666666666666667 | exploration_level: 0.8588343863330361

annealing forward iteration: 75 | coverage level: 0.8666666666666667 | exploration_level: 0.8604422736496157

annealing forward iteration: 76 | coverage level: 0.8666666666666667 | exploration_level: 0.8614702103673558

annealing forward iteration: 77 | coverage level: 0.8666666666666667 | exploration_level: 0.8636995384202927

annealing forward iteration: 78 | coverage level: 0.9 | exploration_level: 0.863655528023683

annealing forward iteration: 79 | coverage level: 0.9 | exploration_level: 0.8656890624170228

annealing forward iteration: 80 | coverage level: 0.9 | exploration_level: 0.868064767630982

annealing forward iteration: 81 | coverage level: 0.9 | exploration_level: 0.8681725470718092

annealing forward iteration: 82 | coverage level: 0.9 | exploration_level: 0.8688735148272164

annealing forward iteration: 83 | coverage level: 0.9 | exploration_level: 0.8702533333467721

annealing forward iteration: 84 | coverage level: 0.9 | exploration_level: 0.8710769397065534

annealing forward iteration: 85 | coverage level: 0.8666666666666667 | exploration_level: 0.8720378782623192

annealing forward iteration: 86 | coverage level: 0.8666666666666667 | exploration_level: 0.8719971199257143

annealing forward iteration: 87 | coverage level: 0.8666666666666667 | exploration_level: 0.8736103016628615

annealing forward iteration: 88 | coverage level: 0.8666666666666667 | exploration_level: 0.8744881958818682

annealing forward iteration: 89 | coverage level: 0.8666666666666667 | exploration_level: 0.8743081974618175

annealing forward iteration: 90 | coverage level: 0.8666666666666667 | exploration_level: 0.8753195346463026

annealing forward iteration: 91 | coverage level: 0.8666666666666667 | exploration_level: 0.8750302069325797

annealing forward iteration: 92 | coverage level: 0.8666666666666667 | exploration_level: 0.8768235633182739

annealing forward iteration: 93 | coverage level: 0.8666666666666667 | exploration_level: 0.8767419588602415

annealing forward iteration: 94 | coverage level: 0.9 | exploration_level: 0.877693951239082

annealing forward iteration: 95 | coverage level: 0.9 | exploration_level: 0.877111003614376

annealing forward iteration: 96 | coverage level: 0.9 | exploration_level: 0.8765360817272998

annealing forward iteration: 97 | coverage level: 0.9 | exploration_level: 0.8769969387178218

annealing forward iteration: 98 | coverage level: 0.9 | exploration_level: 0.8756580737888325

annealing forward iteration: 99 | coverage level: 0.9 | exploration_level: 0.875713719749649

annealing forward iteration: 100 | coverage level: 0.9 | exploration_level: 0.8750696042863583
----- Starting simulation [annealing reverse-constant] : 0 @ 2025-02-03 02:17:56.936064-----
Start coverage level: 0.6
Start exploration level: 0.764

annealing reverse iteration: 1 | coverage level: 0.6 | exploration_level: 0.7707288000000678

annealing reverse iteration: 2 | coverage level: 0.6 | exploration_level: 0.7769077057999594

annealing reverse iteration: 3 | coverage level: 0.6 | exploration_level: 0.7831129603311469

annealing reverse iteration: 4 | coverage level: 0.6333333333333333 | exploration_level: 0.7893263423129053

annealing reverse iteration: 5 | coverage level: 0.6333333333333333 | exploration_level: 0.7962223439310696

annealing reverse iteration: 6 | coverage level: 0.7 | exploration_level: 0.8019126205337356

annealing reverse iteration: 7 | coverage level: 0.7 | exploration_level: 0.8068165235607829

annealing reverse iteration: 8 | coverage level: 0.7 | exploration_level: 0.8137691410416863

annealing reverse iteration: 9 | coverage level: 0.7 | exploration_level: 0.8182272859774302

annealing reverse iteration: 10 | coverage level: 0.7 | exploration_level: 0.8246421924264993

annealing reverse iteration: 11 | coverage level: 0.7 | exploration_level: 0.8280064041654043

annealing reverse iteration: 12 | coverage level: 0.7666666666666667 | exploration_level: 0.8329494141318857

annealing reverse iteration: 13 | coverage level: 0.7666666666666667 | exploration_level: 0.8363532561669373

annealing reverse iteration: 14 | coverage level: 0.7666666666666667 | exploration_level: 0.8394843032026058

annealing reverse iteration: 15 | coverage level: 0.7666666666666667 | exploration_level: 0.8437083396753811

annealing reverse iteration: 16 | coverage level: 0.7666666666666667 | exploration_level: 0.8464899020175386

annealing reverse iteration: 17 | coverage level: 0.7666666666666667 | exploration_level: 0.8477058726079053

annealing reverse iteration: 18 | coverage level: 0.7666666666666667 | exploration_level: 0.8491169271091138

annealing reverse iteration: 19 | coverage level: 0.7666666666666667 | exploration_level: 0.8491516486511055

annealing reverse iteration: 20 | coverage level: 0.7666666666666667 | exploration_level: 0.8500043602401318

annealing reverse iteration: 21 | coverage level: 0.7666666666666667 | exploration_level: 0.8488922535130249

